discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,repeatResp.keys,repeatResp.rt,block1.started,block1.stopped,block2.started,block2.stopped,block3.started,block3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,space,0.4456654899986461,,,,,,,,,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.6840263880003477,16,1,You got it!,1,32,32,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.540114823001204,10.771138910997252,None,10.771138910997252,None,10.771138910997252,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,3.2232675289997132,18,1,You did not get it!,1,32,32,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.584789754000667,17.712577361999138,None,17.712577361999138,None,17.712577361999138,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,19.179358547000447,20,1,You got it!,1,20,52,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9637029549994622,43.65538875699713,None,43.65538875699713,None,43.65538875699713,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,2.235085475993401,18,1,You did not get it!,1,32,52,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4345263290015282,49.02012981799635,None,49.02012981799635,None,49.02012981799635,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.8318500310051604,20,1,You got it!,1,32,84,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.1628716819977853,53.47556701999565,None,53.47556701999565,None,53.47556701999565,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.0744236489990726,22,1,You got it!,1,32,116,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7140786559975822,58.8921057539992,None,58.8921057539992,None,58.8921057539992,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
6,0,6,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.8915568049997091,24,1,You did not get it!,1,32,116,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.482783068997378,62.707514962996356,None,62.707514962996356,None,62.707514962996356,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
7,0,7,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.214480887996615,26,1,You got it!,1,32,148,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6464510429941583,66.59563070299919,None,66.59563070299919,None,66.59563070299919,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
8,0,8,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,2.9599933589997818,28,1,You got it!,1,32,180,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0124992990022292,72.39771499899507,None,72.39771499899507,None,72.39771499899507,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
9,0,9,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,5.824257911997847,30,1,You got it!,1,32,212,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.997938622997026,81.43200420999347,None,81.43200420999347,None,81.43200420999347,None,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
10,0,10,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,10.824657449004008,30,1,You got it!,1,30,0,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
10,0,10,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,1.9322682339989115,98.46780645399849,None,98.46780645399849,None,98.46780645399849,None,space,2.0091974129973096,100.4244061359932,None,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ax,001,2021_фев_22_1449,discounting_block,2020.2.10,59.922896011336505,
